Scheme Name	Asset Value
SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	N.A.
SBI Short Horizon Debt Fund - Ultra Short Term Fund- Institutional Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1359.1399
SBI Short Horizon Debt Fund -Ultra Short Term Fund - Institutional Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	N.A.
Sundaram Low Duration Fund (Formerly Know as Principal Low Duation Fund) Regular Principal Units	1341.4095
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Daily Income Distribution CUM Capital Withdrawal Option	1009.6449
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Growth Option	3713.4567
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Monthly Income Distribution CUM Capital Withdrawal Option	1105.1928
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Weekly Income Distribution CUM Capital Withdrawal Option	1006.3073
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Weekly Income Distribution CUM Capital Withdrawal Option	1010.4171
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) -Daily Income Distribution CUM Capital Withdrawal Option	1015.7943
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) Direct Fortnightly IDCW	1098.0393
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) Regular Fortnightly IDCW	1088.0156
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) Regular Quarterly IDCW	1209.8790
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund)- Growth Option	3463.7473
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund)- Monthly Income Distribution CUM Capital Withdrawal Option	1092.3810
Sundaram Low Duration Fund(Formerly Known as Principal Low Duration Fund) Direct Quarterly IDCW	1254.7945
Tata Treasury Advantage Fund - Direct Plan - Growth Option	4047.1815
Tata Treasury Advantage Fund - Regular Plan - Growth Option	3935.5811
Tata Treasury Advantage Fund Direct Plan - Daily Reinvestment of IDCW Option	1005.0400
Tata Treasury Advantage Fund Direct Plan - Periodic Payout of IDCW Option	2566.6820
Tata Treasury Advantage Fund Direct Plan - Weekly Payout of IDCW Option	1008.1134
Tata Treasury Advantage Fund Regular Plan - Daily Reinvestment of IDCW Option	1005.0400
Tata Treasury Advantage Fund Regular Plan - Periodic Payout of IDCW Option	2494.1847
Tata Treasury Advantage Fund Regular Plan - Weekly Payout of IDCW Option	1008.1041
UTI Low Duration Fund - Direct Plan - Annual IDCW	1335.5772
UTI Low Duration Fund - Direct Plan - Bonus Option	2199.7192
UTI Low Duration Fund - Direct Plan - Daily IDCW (Reinvestment)	1377.535
UTI Low Duration Fund - Direct Plan - Flexi IDCW	1531.5802
UTI Low Duration Fund - Direct Plan - Fortnightly IDCW	1339.9821
UTI Low Duration Fund - Direct Plan - Growth Option	3608.045
UTI Low Duration Fund - Direct Plan - Half-Yearly IDCW	1395.9648
UTI Low Duration Fund - Direct Plan - Monthly IDCW	1408.6835
UTI Low Duration Fund - Direct Plan - Quarterly IDCW	1934.5253
UTI Low Duration Fund - Direct Plan - Weekly IDCW	1021.3983
UTI Low Duration Fund - Discontinued - Annaul Dividend Option	3375.6391
UTI Low Duration Fund - Discontinued - Periodic Dividend Plan	1062.3116
UTI Low Duration Fund - Discontinued - Quarterly Dividend Option	2221.3634
UTI Low Duration Fund - Discontinued Bonus Option	4187.7683
UTI Low Duration Fund - Discontinued Flexi Dividend Plan	1089.13
UTI Low Duration Fund - Discontinued Growth Option	6282.3651
UTI Low Duration Fund - Discontinued Monthly Dividend Option	1030.9725
UTI Low Duration Fund - Regular Plan - Bonus Option	2968.7699
UTI Low Duration Fund - Regular Plan - Daily IDCW (Reinvestment)	1369.0425
UTI Low Duration Fund - Regular Plan - Flexi IDCW	1351.0044
UTI Low Duration Fund - Regular Plan - Fortnightly IDCW	1331.2713
UTI Low Duration Fund - Regular Plan - Growth Option	3552.0642
UTI Low Duration Fund - Regular Plan - Half-Yearly IDCW	1402.1861
UTI Low Duration Fund - Regular Plan - Monthly IDCW	1396.452
UTI Low Duration Fund - Regular Plan - Quarterly IDCW	1380.1541
UTI Low Duration Fund - Regular Plan - Weekly IDCW	1372.5059
Aditya Birla Sun Life Medium Term Plan - DIRECT - HALF YEARLY IDCW	14.4585
Aditya Birla Sun Life Medium Term Plan - Direct - IDCW	17.5943
Aditya Birla Sun Life Medium Term Plan - DIRECT - Quarterly IDCW	13.8553
Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan	43.4175
Aditya Birla Sun Life Medium Term Plan - Growth - Regular Plan	39.935
Aditya Birla Sun Life Medium Term Plan - Institutional - Growth Plan	22.1442
Aditya Birla Sun Life Medium Term Plan - REGULAR - HALFYEARLY IDCW	13.6295
Aditya Birla Sun Life Medium Term Plan - Regular - IDCW	16.1273
Aditya Birla Sun Life Medium Term Plan - REGULAR - Quarterly IDCW	13.2359
Axis Strategic Bond Fund - Direct Plan - Growth Option	30.8417
Axis Strategic Bond Fund - Direct Plan - Half Yearly IDCW	11.9836
Axis Strategic Bond Fund - Direct Plan - Quarterly IDCW	10.6619
Axis Strategic Bond Fund - Regular Plan - Bonus Option	13.2560
Axis Strategic Bond Fund - Regular Plan - Growth Option	28.0704
Axis Strategic Bond Fund - Regular Plan - Half Yearly IDCW	10.6592
Axis Strategic Bond Fund - Regular Plan - Quarterly IDCW	10.4368
BANDHAN Bond Fund - Medium Term - Regular Plan - Bi-Monthly IDCW	10.1962
BANDHAN Bond Fund - Medium Term - Regular Plan - Daily IDCW	10.2459
BANDHAN Bond Fund - Medium Term - Regular Plan - Fortnightly IDCW	10.2278
BANDHAN Bond Fund - Medium Term - Regular Plan - Growth	45.8429
BANDHAN Bond Fund - Medium Term - Regular Plan - IDCW Quarterly	11.3419
BANDHAN Bond Fund - Medium Term - Regular Plan - Monthly IDCW	10.1971
BANDHAN Bond Fund - Medium Term - Regular Plan - Periodic IDCW	14.4411
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Bi Monthly IDCW	10.4726
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Daily IDCW	10.3908
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Fortnightly IDCW	10.2321
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Growth	49.9543
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Monthly IDCW	10.4332
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Periodic IDCW	13.0414
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Quartely IDCW	11.5472
DSP Bond Fund - Direct Plan - Growth	87.1579
DSP Bond Fund - Direct Plan - IDCW	11.745
DSP Bond Fund - Direct Plan - IDCW - Monthly	11.2568
DSP Bond Fund - Growth	82.0954
DSP Bond Fund - IDCW	11.6263
DSP Bond Fund - IDCW - Monthly	11.1522
Franklin India Income Opportunities Fund - Direct - Growth	26.5759
Franklin India Income Opportunities Fund - Direct - IDCW 	12.4807
Franklin India Income Opportunities Fund - Growth	24.9338
Franklin India Income Opportunities Fund - IDCW 	11.5593
HDFC Medium Term Debt Fund - Fornightly IDCW Option	10.0939
HDFC Medium Term Debt Fund - Fortnightly IDCW Opt - Direct Plan	10.0994
HDFC Medium Term Debt Fund - Growth Option	56.3934
HDFC Medium Term Debt Fund - Growth Option - Direct Plan	61.1928
HDFC Medium Term Debt Fund - IDCW Option	19.0304
HDFC Medium Term Debt Fund - IDCW Option - Direct Plan	20.4469
HSBC Medium Duration Fund - Direct Annual IDCW	11.9216
HSBC Medium Duration Fund - Direct Growth	22.3566
HSBC Medium Duration Fund - Direct IDCW	11.7685
HSBC Medium Duration Fund - Regular Annual IDCW	10.8904
HSBC Medium Duration Fund - Regular Growth	20.4885
HSBC Medium Duration Fund - Regular IDCW	10.7187
ICICI Prudential Medium Term Bond Fund - Annual IDCW	12.9357
ICICI Prudential Medium Term Bond Fund - Bonus	15.0013
ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth	49.3260
ICICI Prudential Medium Term Bond Fund - Direct Plan - Half Yearly IDCW	11.1332
ICICI Prudential Medium Term Bond Fund - Direct Plan - Quarterly IDCW	11.4836
ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus	16.1701
ICICI Prudential Medium Term Bond Fund - Growth	44.9338
ICICI Prudential Medium Term Bond Fund - Half Yearly IDCW	10.6331
ICICI Prudential Medium Term Bond Fund - Quarterly IDCW	10.8925
ICICI Prudential Medium Term Bond Fund -Direct Plan - Annual IDCW	14.3488
ICICI Prudential Medium Term Bond Fund Plan A - Weekly Dividend	10.0458
ICICI Prudential Medium Term Bond Fund Plan B - Half Yearly Dividend	10.8612
ICICI Prudential Medium Term Bond Fund Plan B - Quarterly Dividend	10.6002
ICICI Prudential Medium Term Bond Fund Plan C - Quarterly Dividend	10.4491
ICICI Prudential Medium Term Bond Fund-Plan B-Growth	32.0584
Invesco India Medium Duration Fund - Direct - Discretionary IDCW (Payout/Reinvestment)	1283.752
Invesco India Medium Duration Fund - Direct - Growth	1283.8423
Invesco India Medium Duration Fund - Direct - Quarterly IDCW (Payout / Reinvestment))	1094.9048
Invesco India Medium Duration Fund - Regular - Discretionary IDCW(Payout / Reinvestment))	1242.1015
Invesco India Medium Duration Fund - Regular - Growth	1242.0998
Invesco India Medium Duration Fund - Regular - Quarterly IDCW (Payout / Reinvestment)	1055.9488
Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option	25.3396
Kotak Medium Term Fund - Direct Growth	25.3373
Kotak Medium Term Fund - Growth	22.7987
Kotak Medium Term Fund - Standard Income Distribution cum capital withdrawal option	13.9935
Nippon India Strategic Debt Fund - Bonus Option	10.5217
Nippon India Strategic Debt Fund - Direct Plan - Bonus Option	16.7616
Nippon India Strategic Debt Fund - Direct Plan - Growth Option	16.7582
NIPPON INDIA STRATEGIC DEBT FUND - DIRECT Plan - IDCW Option	14.1350
NIPPON INDIA STRATEGIC DEBT FUND - DIRECT Plan - QUARTERLY IDCW Option	10.9583
Nippon India Strategic Debt Fund - Growth Option	15.4752
NIPPON INDIA STRATEGIC DEBT FUND - IDCW Option	13.2422
NIPPON INDIA STRATEGIC DEBT FUND - QUARTERLY IDCW Option	10.8733
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Bonus Option	0.1794
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Bonus Option	0.1888
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Growth Option	0.1886
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - IDCW Option	0.1591
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - QUARTERLY IDCW Option	0.1343
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Growth Option	0.1794
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - IDCW Option	0.1535
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - QUARTERLY IDCW Option	0.1323
SBI MAGNUM MEDIUM DURATION FUND - DIRECT PLAN - GROWTH	55.4067
SBI Magnum Medium Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	21.5376
SBI MAGNUM MEDIUM DURATION FUND - REGULAR PLAN - GROWTH	51.2674
SBI Magnum Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	19.8727
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Annual Income Distribution cum Capital Withdrawal (IDCW)	15.6166
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Growth	77.2917
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW)	27.1857
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth	75.2476
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW)	13.7546
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Bonus	23.6448
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth	69.2271
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW)	13.6045
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW)	13.3661
Tata Medium Term Fund -Regular Plan - Growth Option	29.7872
Tata Medium Term Fund- Direct Plan - Payout of IDCW Option	15.2302
Tata Medium Term Fund- Direct Plan- Growth Option	32.7645
Tata Medium Term Fund- Regular Plan - Payout of IDCW option	13.5481
UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option	0.3663
UTI - Medium Term Fund (Segregated - 17022020) - Regular Plan - Growth Option	0.3488
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW	0.2973
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW	0.2864
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW	0.2895
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Monthly IDCW	0.2595
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW	0.2867
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW	0.2818
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW	0.2488
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW	0.2764
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Monthly IDCW	0.2515
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW	0.2721
UTI Medium Duration Fund - Direct Plan - Annual IDCW	14.5308
UTI Medium Duration Fund - Direct Plan - Flexi IDCW	15.2543
UTI Medium Duration Fund - Direct Plan - Growth Option	19.6182
UTI Medium Duration Fund - Direct Plan - Half-Yearly IDCW	14.6943
UTI Medium Duration Fund - Direct Plan - Monthly IDCW	10.7037
UTI Medium Duration Fund - Direct Plan - Quarterly IDCW	14.6788
UTI Medium Duration Fund - Regular Plan - Annual IDCW	13.419
UTI Medium Duration Fund - Regular Plan - Flexi IDCW	13.5163
UTI Medium Duration Fund - Regular Plan - Growth Option	18.2958
UTI Medium Duration Fund - Regular Plan - Half-Yearly IDCW	13.1897
UTI Medium Duration Fund - Regular Plan - Monthly IDCW	13.1945
UTI Medium Duration Fund - Regular Plan - Quarterly IDCW	14.0845
Aditya Birla Sun Life Income Fund (Discipline Advantage Plan)	30.0154
Aditya Birla Sun Life Income Fund - Direct - IDCW	13.4402
Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW	14.3175
Aditya Birla Sun Life Income Fund - Growth - Direct Plan	135.2699
Aditya Birla Sun Life Income Fund - Growth - Regular Plan	125.4406
Aditya Birla Sun Life Income Fund - Regular - IDCW	12.6113
Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW	13.3354
BANDHAN Bond Fund - Income Plan - Regular Plan - Annual IDCW	11.6653
BANDHAN Bond Fund - Income Plan - Regular Plan - Growth	64.3760
BANDHAN Bond Fund - Income Plan - Regular Plan - Half-yearly IDCW	11.8951
BANDHAN Bond Fund - Income Plan - Regular Plan - Periodic IDCW	13.8165
BANDHAN Bond Fund - Income Plan - Regular Plan - Quarterly IDCW	12.1267
BANDHAN Bond Fund - Income Plan-Direct Plan-Annual IDCW	15.9770
BANDHAN Bond Fund - Income Plan-Direct Plan-Growth	70.4248
BANDHAN Bond Fund - Income Plan-Direct Plan-Half Yearly IDCW	12.8023
BANDHAN Bond Fund - Income Plan-Direct Plan-Periodic IDCW	17.1221
BANDHAN Bond Fund - Income Plan-Direct Plan-Quarterly IDCW	12.7148
BANDHAN Bond Fund - Short Term - Regular Plan - Growth	57.3403
BANDHAN Bond Fund - Short Term - Regular Plan - Monthly IDCW	10.3688
BANK OF INDIA Conservative Hybrid  Fund-Direct Plan-Quarterly IDCW	18.0025
BANK OF INDIA Conservative Hybrid  Fund-ECO Plan-Quarterly IDCW	10.3674
BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth	36.6360
BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Annual IDCW	16.6959
BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Monthly IDCW	16.3217
BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Growth	35.4514
BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Monthly IDCW	26.8505
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Annual IDCW	16.6256
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Growth	34.2489
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Monthly IDCW	17.6328
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Quarterly IDCW	18.2757
CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION	62.0293
CANARA ROBECO INCOME FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment)	17.2620
CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION	55.3267
CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment)	15.1633
Franklin India Medium to Long Duration Fund - Direct - IDCW	10.5945
Franklin India Medium to Long Duration Fund - Direct Growth	10.7144
Franklin India Medium to Long Duration Fund - Growth	10.6727
Franklin India Medium to Long Duration Fund - IDCW	10.5528
HDFC Income Fund - Growth Option	58.3378
HDFC Income Fund - Growth Option - Direct Plan	64.5247
HDFC Income Fund - Normal IDCW - Direct Plan	20.4055
HDFC Income Fund - Normal IDCW Option	18.3975
HDFC Income Fund - Quarterly IDCW Option	11.6946
HDFC Income Fund - Quarterly IDCW- Direct Plan	13.0884
HSBC Medium to Long Duration Fund - Direct Growth	47.0442
HSBC Medium to Long Duration Fund - Direct Quarterly IDCW	10.9544
HSBC Medium to Long Duration Fund - Regular Growth	42.1657
HSBC Medium to Long Duration Fund - Regular Quarterly IDCW	10.9334
ICICI Prudential Bond Fund - Bonus	12.4602
ICICI Prudential Bond Fund - Direct Plan - Growth	42.6994
ICICI Prudential Bond Fund - Direct Plan - Half Yearly IDCW	11.0981
ICICI Prudential Bond Fund - Direct Plan - IDCW Monthly	11.4620
ICICI Prudential Bond Fund - Direct Plan - IDCW Quarterly	11.7476
ICICI Prudential Bond Fund - Growth	40.3208
ICICI Prudential Bond Fund - Half Yearly IDCW	11.4260
ICICI Prudential Bond Fund - IDCW Monthly	11.2520
ICICI Prudential Bond Fund - IDCW Quarterly	11.3695
ICICI Prudential Bond Fund- Institutional Growth	25.0654
ICICI Prudential Bond Fund- Institutional Monthly Dividend	10.6444
ICICI Prudential Bond Fund- Institutional Quarterly Dividend	11.4294
JM Medium to Long Duration Fund (Direct) - Bonus Option - Principal Units	28.556
JM Medium to Long Duration Fund (Direct) - Growth Option	69.5855
JM Medium to Long Duration Fund (Direct) - Quarterly IDCW	24.5885
JM Medium to Long Duration Fund (Regular) - Growth Option	62.4557
JM Medium to Long Duration Fund (Regular) - Quarterly IDCW	21.2353
JM Medium to Long Duration Fund (Regular) - Bonus Option- Principal Units	25.5525
Kotak Bond Fund - Direct Plan - Standard IDCW option	28.7294
Kotak Bond Fund - Growth - Direct	86.3178
Kotak Bond Fund - Regular Plan - Standard IDCW Option	47.105
Kotak Bond Fund - Regular Plan Growth	76.8848
Kotak Bond-Deposit-Dividend	13.6554
Kotak Bond-Deposit-Growth	42.9354
LIC MF Medium to Long Duration Fund-Direct Plan-Annual IDCW	18.9432
LIC MF Medium to Long Duration Fund-Direct Plan-Growth	78.4048
LIC MF Medium to Long Duration Fund-Direct Plan-IDCW	18.9432
LIC MF Medium to Long Duration Fund-Direct Plan-Quarterly IDCW	18.9434
LIC MF Medium to Long Duration Fund-Regular Plan-Annual IDCW	15.9501
LIC MF Medium to Long Duration Fund-Regular Plan-Growth	72.7671
LIC MF Medium to Long Duration Fund-Regular Plan-IDCW	15.9502
LIC MF Medium to Long Duration Fund-Regular Plan-Quarterly IDCW	15.9501
NIPPON INDIA INCOME FUND - ANNUAL IDCW Option	13.0386
NIPPON INDIA INCOME FUND - Direct Plan - ANNUAL IDCW Option	14.3200
NIPPON INDIA INCOME FUND - Direct Plan - HALF YEARLY IDCW Option	13.6745
NIPPON INDIA INCOME FUND - Direct Plan - MONTHLY IDCW Option	11.3610
NIPPON INDIA INCOME FUND - Direct Plan - QUARTERLY IDCW Option	13.8074
Nippon India Income Fund - Direct Plan Growth Plan - Growth Option	100.0096
Nippon India Income Fund - Direct Plan Growth Plan-Bonus Option	28.5786
Nippon India Income Fund - Growth Plan Bonus Option	25.7141
Nippon India Income Fund - Growth Plan Growth Option	89.4425
NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option	12.6927
NIPPON INDIA INCOME FUND - MONTHLY IDCW Option	10.6991
NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option	13.0992
SBI Magnum Income Fund - Direct Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW)	21.6576
SBI Magnum Income Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)	22.1721
SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW)	18.5076
SBI Magnum Income Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)	19.9273
SBI Magnum Income Fund-DIRECT PLAN - Bonus	46.3087
SBI Magnum Income Fund-DIRECT PLAN -Growth	76.3332
SBI Magnum Income Fund-REGULAR PLAN-Bonus	42.8749
SBI Magnum Income Fund-REGULAR PLAN-Growth	70.7611
Tata Income Fund - Direct Plan - Growth Option	72.1992
Tata Income Fund -Regular Plan - Growth Option	66.6140
TATA Income Fund Direct Plan - Periodic Payout of Income Distribution cum capital withdrawal option 	41.0962
Tata Income Fund- Regular Plan - Periodic Payout of IDCW Option	38.6487
TATA Income Fund-Direct Plan - Half Yearly Payout of IDCW Option	16.8454
Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option	15.3414
UTI Medium to Long Duration Fund - Direct Plan - Annual IDCW	13.0949
UTI Medium to Long Duration Fund - Direct Plan - Flexi IDCW	15.5733
UTI Medium to Long Duration Fund - Direct Plan - Half-Yearly IDCW	14.988
UTI Medium to Long Duration Fund - Direct Plan - Quarterly IDCW	25.2614
UTI Medium to Long Duration Fund - Regular Plan - Annual IDCW	12.9187
UTI Medium to Long Duration Fund - Regular Plan - Flexi IDCW	14.2881
UTI Medium to Long Duration Fund - Regular Plan - Half-Yearly IDCW	14.5174
UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW	18.8728
UTI Medium to Long Duration Fund- Regular Plan - Growth	73.4817
UTI Medium to Long Duration Fund-Growth - Direct	80.0464
Aditya Birla Sun Life Money Manager Fund - Daily IDCW	100.539
Aditya Birla Sun Life Money Manager Fund - Direct - daily IDCW	100.539
Aditya Birla Sun Life Money Manager Fund - Direct - weekly IDCW	100.6444
Aditya Birla Sun Life Money Manager Fund - Growth	370.5355
Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan	375.3462
Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW	100.539
Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW	103.8365
Aditya Birla Sun Life Money Manager Fund - Retail Growth	456.6955
Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW	100.6433
Axis Money Market Fund - Direct Plan - Annual IDCW	1263.1276
Axis Money Market Fund - Direct Plan - Daily IDCW	1005.5710
Axis Money Market Fund - Direct Plan - Growth Option	1446.1012
Axis Money Market Fund - Direct Plan - Monthly IDCW	1011.9396
Axis Money Market Fund - Direct Plan - Quarterly IDCW	1169.5100
Axis Money Market Fund - Regular Plan - Annual IDCW	1250.5949
Axis Money Market Fund - Regular Plan - Daily IDCW	1005.5619
Axis Money Market Fund - Regular Plan - Growth Option	1433.0339
Axis Money Market Fund - Regular Plan - Monthly IDCW	1005.5636
Axis Money Market Fund - Regular Plan - Quarterly IDCW	1156.7680
Bajaj Finserv Money Market Fund-Direct Plan-Growth	1162.4035
Bajaj Finserv Money Market Fund-Direct Plan-IDCW	1162.4035
Bajaj Finserv Money Market Fund-Direct Plan-Monthly-IDCW	1036.6672
Bajaj Finserv Money Market Fund-Regular Plan-Growth	1149.6618
Bajaj Finserv Money Market Fund-Regular Plan-IDCW	1149.6618
Bajaj Finserv Money Market Fund-Regular Plan-Monthly-IDCW	1049.4095
BANDHAN Money Manager Fund - Regular Plan - Monthly IDCW	10.3057
BANDHAN Money Manager Fund - Regular Plan - Growth	40.3630
BANDHAN Money Manager Fund - Regular Plan - Daily IDCW	10.0992
BANDHAN Money Manager Fund - Regular Plan - Periodic IDCW	13.2377
BANDHAN Money Manager Fund - Regular Plan - Weekly IDCW	10.1271
BANDHAN Money Manager Fund -Direct Plan-Daily IDCW	10.0992
BANDHAN Money Manager Fund -Direct Plan-Growth	43.7044
BANDHAN Money Manager Fund -Direct Plan-Monthly IDCW	10.2431
BANDHAN Money Manager Fund -Direct Plan-Periodic IDCW	16.0238
BANDHAN Money Manager Fund -Direct Plan-Weekly IDCW	10.1048
Bank of India Money Market Fund - Direct - Daily IDCW	10.0663
Bank of India Money Market Fund - Direct - Growth	10.3494
Bank of India Money Market Fund - Direct - Monthly IDCW	10.3481
Bank of India Money Market Fund - Regular - Daily IDCW	10.3281
Bank of India Money Market Fund - Regular - Growth	10.3280
Bank of India Money Market Fund - Regular - Monthly IDCW	10.3281
Bank of India Money Market Fund - Regular - Weekly IDCW	10.3287
Baroda BNP Paribas Money Market Fund - Direct Plan - Monthly IDCW	1043.6469
Baroda BNP Paribas Money Market Fund - Direct Plan-Daily IDCW	1003.7763
Baroda BNP Paribas Money Market Fund - Regular Plan - Monthly IDCW	1025.9484
Baroda BNP Paribas Money Market Fund -Direct Plan - Weekly IDCW	1003.8435
Baroda BNP Paribas Money Market Fund- Direct Plan - Growth	1400.1711
Baroda BNP Paribas Money Market Fund-Regular Plan - Growth	1380.1465
Baroda BNP Paribas Money Market Fund-Regular Plan- Daily IDCW	1005.9528
Baroda BNP Paribas Money Market Fund-Regular Plan-Weekly IDCW	1003.8443
DSP Savings Fund - Direct Plan -  IDCW - Daily	10.1527
DSP Savings Fund - Direct Plan - Growth	54.2832
DSP Savings Fund - Direct Plan - IDCW	12.4579
DSP Savings Fund - Direct Plan - IDCW - Monthly	11.0404
DSP Savings Fund - Regular Plan - Growth	52.6752
DSP Savings Fund - Regular Plan - IDCW	12.419
DSP Savings Fund - Regular Plan - IDCW - Daily	10.1021
DSP Savings Fund - Regular Plan - IDCW - Monthly	11.0064
Edelweiss Money Market Fund - Direct Plan - Annual - IDCW Option	31.377
Edelweiss Money Market Fund - Direct Plan - Growth Option	31.3812
Edelweiss Money Market Fund - Direct Plan - IDCW Option	29.2642
Edelweiss Money Market Fund - Institutional Plan - Growth Option	24.3645
Edelweiss Money Market Fund - Regular Plan - Annual - IDCW Option	28.2374
Edelweiss Money Market Fund - Regular Plan - Growth Option	28.4725
Edelweiss Money Market Fund - Regular Plan - IDCW Option	26.7841
Franklin India Money Market Fund - Direct - Growth	51.9110
